IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.227.128,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,23685 kB/s
8.218.122.55,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,19862 kB/s
8.218.122.55,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,18990 kB/s
47.238.35.50,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,18804 kB/s
8.217.91.121,2052,false,HKG,Asia Pacific,Hong Kong,70 ms,18604 kB/s
8.218.52.115,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,17893 kB/s
47.76.146.1,8880,false,HKG,Asia Pacific,Hong Kong,69 ms,17178 kB/s
47.238.40.58,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,16984 kB/s
8.218.188.129,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,16157 kB/s
8.217.154.218,80,false,HKG,Asia Pacific,Hong Kong,62 ms,15958 kB/s
47.76.227.128,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,15953 kB/s
47.238.6.102,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,15824 kB/s
47.76.37.57,2082,false,HKG,Asia Pacific,Hong Kong,57 ms,15275 kB/s
8.217.149.28,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,14854 kB/s
47.74.155.26,80,false,SIN,Asia Pacific,Singapore,91 ms,14392 kB/s
8.217.145.40,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,14079 kB/s
8.218.18.235,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,13982 kB/s
47.76.77.103,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,13826 kB/s
8.210.65.1,2086,false,HKG,Asia Pacific,Hong Kong,54 ms,13712 kB/s
8.218.126.53,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,13580 kB/s
47.76.227.40,2052,false,HKG,Asia Pacific,Hong Kong,56 ms,13575 kB/s
47.76.77.103,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,13438 kB/s
8.217.149.28,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,13232 kB/s
8.217.154.218,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,12907 kB/s
8.210.175.109,2052,false,HKG,Asia Pacific,Hong Kong,57 ms,12631 kB/s
8.219.40.37,2086,false,SIN,Asia Pacific,Singapore,83 ms,12427 kB/s
8.217.159.210,2052,false,HKG,Asia Pacific,Hong Kong,54 ms,12316 kB/s
8.218.243.95,2052,false,HKG,Asia Pacific,Hong Kong,68 ms,12218 kB/s
47.76.77.103,8080,false,HKG,Asia Pacific,Hong Kong,73 ms,12104 kB/s
8.218.11.90,8880,false,HKG,Asia Pacific,Hong Kong,58 ms,11971 kB/s
47.76.77.103,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,11949 kB/s
8.218.65.237,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,11827 kB/s
47.238.35.50,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,11673 kB/s
47.76.77.103,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,11653 kB/s
47.76.227.128,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,10974 kB/s
8.217.239.116,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,10945 kB/s
8.218.18.132,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,10697 kB/s
8.218.188.129,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,10535 kB/s
8.217.145.40,2095,false,HKG,Asia Pacific,Hong Kong,57 ms,10400 kB/s
8.218.11.90,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,10198 kB/s
47.242.59.216,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,10179 kB/s
47.242.232.14,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,9981 kB/s
